Geneid	SRR4420293	SRR4420294	SRR4420297	SRR4420298
AT1G01010	22	3	20	26
AT1G01020	0	0	0	0
AT1G01030	0	0	0	0
AT1G01040	6	0	3	4
AT1G01050	15	2	16	9
AT1G01060	0	0	1	0
AT1G01070	0	0	0	0
AT1G01080	0	0	0	0
AT1G01090	131	40	254	192
AT1G01100	4	0	0	1
AT1G01110	0	0	0	0
AT1G01120	273	44	161	103
AT1G01130	5	0	5	2
AT1G01140	0	0	0	0
AT1G01150	0	0	0	0
AT1G01160	0	0	2	0
AT1G01170	0	0	0	0
AT1G01180	54	16	55	50
AT1G01190	0	0	0	2
AT1G01200	6	0	4	6
AT1G01210	2	0	3	3
AT1G01220	0	0	0	0
AT1G01225	2	4	10	10
AT1G01230	87	25	91	94
AT1G01240	0	0	0	0
AT1G01250	36	18	74	56
AT1G01260	0	0	0	0
AT1G01280	0	0	0	0
AT1G01290	2	2	4	4
AT1G01300	38	8	34	28
AT1G01305	0	0	0	0
AT1G01310	0	0	0	0
AT1G01320	0	0	0	0
AT1G01335	0	0	0	0
AT1G01340	0	0	1	1
AT1G01350	36	2	44	44
AT1G01355	0	0	0	0
AT1G01360	103	8	57	22
AT1G01370	0	0	0	0
AT1G01380	0	0	0	0
AT1G01390	0	0	0	0
AT1G01400	0	0	0	0
AT1G01410	0	0	0	0
AT1G01420	0	0	0	0
AT1G01430	172	67	285	246
AT1G01440	67	23	97	78
AT1G01450	0	0	0	0
AT1G01453	0	0	0	0
AT1G01460	0	0	0	0
AT1G01470	234	42	173	120
AT1G01480	0	0	0	0
AT1G01490	0	2	4	2
AT1G01500	34	8	30	32
AT1G01510	48	23	110	80
AT1G01520	0	0	0	0
AT1G01530	0	0	0	0
AT1G01540	1	1	0	0
AT1G01550	4	0	1	2
AT1G01560	0	0	0	0
AT1G01570	1	0	2	3
AT1G01580	0	0	0	0
AT1G01590	0	2	0	0
AT1G01600	18	8	19	20
AT1G01610	87	21	91	66
AT1G01620	0	0	0	0
AT1G01630	150	29	115	87
AT1G01640	0	0	0	0
AT1G01650	1	0	0	0
AT1G01660	0	0	0	0
AT1G01670	0	0	0	0
AT1G01680	2	0	2	6
AT1G01690	0	0	0	0
AT1G01695	2	0	0	0
AT1G01700	0	0	0	0
AT1G01710	74	18	108	107
AT1G01715	3	0	0	1
AT1G01720	188	83	292	232
AT1G01725	58	6	22	34
AT1G01730	49	8	54	42
AT1G01740	0	0	0	0
AT1G01750	4	2	5	3
AT1G01760	0	0	0	0
AT1G01770	46	12	60	47
AT1G01780	26	6	19	17
AT1G01790	0	0	0	0
AT1G01800	0	0	0	0
AT1G01810	2	0	2	0
AT1G01820	92	19	90	88
AT1G01830	5	0	3	3
AT1G01840	2	2	4	2
AT1G01860	5	0	13	13
AT1G01880	0	0	0	0
AT1G01900	16	4	8	16
AT1G01910	0	0	0	0
AT1G01920	1	0	0	0
AT1G01930	52	6	50	47
AT1G01940	19	4	32	20
AT1G01950	0	0	0	1
AT1G01960	102	24	220	158
AT1G01970	59	24	107	68
AT1G01980	0	0	0	0
AT1G01990	24	17	40	34
AT1G02000	30	6	22	20
AT1G02010	0	0	0	0
AT1G02020	0	0	0	0
AT1G02030	2	0	0	0
AT1G02040	0	0	0	1
AT1G02050	5	4	9	13
AT1G02060	4	2	9	5
AT1G02065	0	0	0	0
AT1G02067	1	0	0	0
AT1G02070	10	0	0	2
AT1G02080	0	0	0	0
AT1G02090	5	2	7	2
AT1G02100	0	0	0	0
AT1G02110	14	9	15	29
AT1G02120	0	0	0	0
AT1G02130	100	28	140	78
AT1G02136	0	0	0	0
